year,ring,coef,se,effect_pct,ci_lo_pct,ci_hi_pct,N,within_R2
2015,0–100 m,0.06049270768225503,0.056794150589580074,6.235985047648862,-4.95539017254859,18.745129676828377,274,0.0026193513960689474
2015,100–400 m,0.043779872444796926,0.05841882512143889,4.475235079348017,-6.8278216848556506,17.14950688354655,2838,0.0026193513960689474
2015,400–800 m,0.05832512986173864,0.043401512423890024,6.005959671732852,-2.6387437733663033,15.418226114167943,5381,0.0026193513960689474
2021,0–100 m,-0.03901287792284592,0.044512991996814966,-3.826167612531417,-11.861288215065702,4.941470652103597,274,0.0026193513960689474
2021,100–400 m,0.008361432760882017,0.038472162912725164,0.8396487173378597,-6.48459524702708,8.73753666892867,2838,0.0026193513960689474
2021,400–800 m,0.01802664657449255,0.038093551101145165,1.8190107306861103,-5.50627100993032,9.712158224436784,5381,0.0026193513960689474
