year,I,p,n_cells,mean_lnrv,sd_lnrv
2008,0.20759708895569434,5e-4,1218,9.217012494601487,0.7111160503915964
2015,0.2187307319518461,5e-4,1218,9.44177361371819,0.6847927546026533
2021,0.1985950552150466,5e-4,1218,9.549303760317887,0.649432057795412
