year,ring,term,beta,se,ci_lo,ci_hi,p,pct,pct_lo,pct_hi
2015,walk_0_100,Outside,0.01765882246215693,0.041544391647859336,-0.06376818516764737,0.09908583009196123,0.6707935793882518,1.7815661303808072,-6.177753179229983,10.416106573774098
2015,walk_0_100,Inside,0.18154758239955815,0.06916585687741417,0.04598250291982639,0.3171126618792899,0.008669604425110961,19.907159005583242,4.705609037229985,37.31572656893631
2015,walk_0_100,Inside-Outside,0.16388875993740123,0.06988862744580472,0.02690705014362399,0.3008704697311785,0.019027131751472085,17.80832577481053,2.7272313511702118,35.103433036363896
2015,walk_100_400,Outside,-0.01485919603601947,0.05259290704735868,-0.11794129384884249,0.08822290177680354,0.7775353679211228,-1.4749342965123757,-11.125177392914832,9.223155525068695
2015,walk_100_400,Inside,0.1836945716251837,0.07662922473344981,0.0335012911476221,0.3338878521027453,0.016521495288866334,20.164874941716192,3.406877886086157,39.63865329794667
2015,walk_100_400,Inside-Outside,0.1985537676612032,0.09362440548108071,0.015049932918284992,0.3820576024041214,0.03394301750451095,21.963760271273337,1.516375343893439,46.52964873024719
2015,walk_400_800,Outside,0.013297040160285656,0.029512612349196898,-0.04454768004414026,0.07114176036471156,0.6523106695033174,1.338583894930423,-4.357000361800867,7.37334279223385
2015,walk_400_800,Inside,0.11632231539500718,0.07070134094029826,-0.022252312847977407,0.25489694363799176,0.09991554251116638,12.335788933009662,-2.2006556392866528,29.032863744544322
2015,walk_400_800,Inside-Outside,0.10302527523472152,0.07487159125631623,-0.0437230436276583,0.24977359409710134,0.16881350527101216,10.851942681063441,-4.278097132550873,28.37347386607838
2021,walk_0_100,Outside,0.03164365138187189,0.05007190154592166,-0.06649727564813455,0.12978457841187835,0.5274102422330378,3.214963466789933,-6.4334535065186715,13.858308152828801
2021,walk_0_100,Inside,-0.22526086258945002,0.04908472181329574,-0.3214669173435097,-0.12905480783539036,4.448933749735512e-6,-20.169205708229764,-27.49153826440207,-12.107420779468258
2021,walk_0_100,Inside-Outside,-0.2569045139713219,0.0536602886680682,-0.3620786797607356,-0.15173034818190823,1.6877955565528471e-6,-22.655793684937642,-30.377241333322214,-14.078006027502576
2021,walk_100_400,Outside,0.007346759555243316,0.050698006920694885,-0.09202133400931865,0.10671485311980529,0.8847801964501172,0.7373813204862856,-8.791430910710329,11.26169499901415
2021,walk_100_400,Inside,0.008585625160840228,0.029226624715575786,-0.04869855928168831,0.06586980960336876,0.7689409917645011,0.8622587345970656,-4.753180087276232,6.808765335857592
2021,walk_100_400,Inside-Outside,0.0012388656055969112,0.05306413217575858,-0.1027668334588899,0.10524456467008372,0.9813738223926375,0.12396333165887174,-9.76626561677243,11.098228414923717
2021,walk_400_800,Outside,0.027136598297227775,0.03485978162109415,-0.041188573680116754,0.09546177027457231,0.43630375025285195,2.750814904128651,-4.035185149881359,10.01667621567297
2021,walk_400_800,Inside,0.005482903002910718,0.07074128430189788,-0.13317001422880914,0.14413582023463056,0.9382206919716161,0.5497961624655101,-12.468373676184175,15.504097580813902
2021,walk_400_800,Inside-Outside,-0.021653695294317057,0.07459003254213435,-0.16785015907690037,0.12454276848826627,0.7715845970011269,-2.142093708664805,-15.45194872258624,13.263046031694014
