"ring","year","beta","se","ci_low","ci_high","p"
"0–100 m",2015,0.0620796774100485,0.054984732347868,-0.0499205572905532,0.17407991211065,0.267276276934981
"0–100 m",2021,-0.0376710235930858,0.0440083859991787,-0.127313172426676,0.0519711252405039,0.39836426625903
"100–400 m",2015,0.0434405232990489,0.0580243554306533,-0.074751221010429,0.161632267608527,0.459529864184292
"100–400 m",2021,0.00769831017184139,0.0384895171176313,-0.0707022706187401,0.0860988909624229,0.842737979087145
"400–800 m",2015,0.0585585009522851,0.0432865376384261,-0.0296132908863657,0.146730292790936,0.185597818110426
"400–800 m",2021,0.017610681698821,0.0380867437294466,-0.0599694765475087,0.0951908399451507,0.646935020687763
