block,R2_full,R2_restricted,partial_R2
All rings,0.0026329088908558784,0,0.0026329088908558554
0–100 m,0.0026329088908558784,0.0023360574360816733,2.975465405829189e-4
100–400 m,0.0026329088908558784,0.0020074223221066,6.267447100704865e-4
400–800 m,0.0026329088908558784,7.803431281280249e-4,0.0018540125286640695
