avd,ring,n_all,n_bal,share_all,share_bal
2008,0–100 m,278,278,0.03231806556614741,0.03231806556614741
2008,100–400 m,2872,2872,0.33387584282724947,0.33387584282724947
2008,400–800 m,5452,5452,0.6338060916066031,0.6338060916066031
2015,0–100 m,278,278,0.03231806556614741,0.03231806556614741
2015,100–400 m,2872,2872,0.33387584282724947,0.33387584282724947
2015,400–800 m,5452,5452,0.6338060916066031,0.6338060916066031
2021,0–100 m,278,278,0.03231806556614741,0.03231806556614741
2021,100–400 m,2872,2872,0.33387584282724947,0.33387584282724947
2021,400–800 m,5452,5452,0.6338060916066031,0.6338060916066031
