avd,ring_group,n_prop,share_prop,share_prop_pct,mean_lnrv,iqr_lnrv
2008,0–100 m,278,0.003559630208199954,0.3559630208199954,10.15117116090111,2.0569145790374765
2008,100–400 m,2872,0.03677430920125996,3.677430920125996,10.156412670814818,1.9478864439320898
2008,400–800 m,5452,0.06980972624138902,6.980972624138902,10.116187949196398,1.7574910123932401
2008,>800 m,69496,0.889856334349151,88.9856334349151,9.49236944997634,1.0754455103911162
2015,0–100 m,278,0.003559630208199954,0.3559630208199954,10.433094353010798,2.1199919576325446
2015,100–400 m,2872,0.03677430920125996,3.677430920125996,10.421080338852295,1.9109711631820954
2015,400–800 m,5452,0.06980972624138902,6.980972624138902,10.39356764568677,1.771556761910535
2015,>800 m,69496,0.889856334349151,88.9856334349151,9.711776337660265,1.0608719606852617
2021,0–100 m,278,0.003559630208199954,0.3559630208199954,10.397563654066058,1.6922433376385602
2021,100–400 m,2872,0.03677430920125996,3.677430920125996,10.447530064632858,1.726801572953283
2021,400–800 m,5452,0.06980972624138902,6.980972624138902,10.411440732439353,1.6022694229554872
2021,>800 m,69496,0.889856334349151,88.9856334349151,9.774770840612241,0.9839493803479691
