year,ring,coef_name,beta,se,z,p,ci_lo,ci_hi,pct,pct_lo,pct_hi
2015,walk_0_100,y2015:walk_0_100,0.026085924639516065,0.03422066022743296,0.7622858374486974,0.44588942473586546,-0.040986569406252546,0.09315841868528467,2.6429140238328763,-4.015797889052197,9.763560748527379
2015,walk_100_400,y2015:walk_100_400,0.02741783922562383,0.04504783380355656,0.6086383497414514,0.5427641791030813,-0.06087591502934702,0.11571159348059468,2.779716702699586,-5.906001095662816,12.26720395024319
2015,walk_400_800,y2015:walk_400_800,0.03164573589554183,0.028517241183400356,1.1097053776002197,0.2671260048467935,-0.024248056823922864,0.08753952861500652,3.2151786200164567,-2.395643454048013,9.148540849673136
2021,walk_0_100,walk_0_100:y2021,-0.09259931368889013,0.03575247924813264,-2.590010976475893,0.009597287173126155,-0.16267417301523013,-0.022524454362550142,-8.844132378590853,-15.01319467476333,-2.2272672797548854
2021,walk_100_400,walk_100_400:y2021,-0.04191259603514362,0.03260014009531034,-1.2856569300808898,0.19856281877638257,-0.10580887062195189,0.02198367855166465,-4.104640674418536,-10.040342902125266,2.2227100107480746
2021,walk_400_800,walk_400_800:y2021,-0.007665575776248424,0.03618179563315898,-0.2118627791160058,0.8322140893639769,-0.07858189521724002,0.06325074366474318,-0.7636270179491533,-7.557364926533094,6.529392144721169
